Name,BestArchetypePvE,BestArchetypePvP,PvEScore,PvPOffenseScore,PvPDefScore,DemoPrelimScore,DemoBossScore,Pros,Cons,Notes
"Izanami",RP,P,3,3,3,5,4,"Very high Magic stat. Combined with innate Merciless Blow, her unique Yomotsu Okami and Elec Amp in purple, she will decimate anything weak to Elec or Dark.
Yomotsu Okami provides a teamwide increase to Dark and Elec damage, perfect for Democalypse.
Great set of panels that provide her MP reduction, Elec Pierce and increased damage.","Weak to Fire
Very expensive to fuse
No true AOE spells
Very RNG reliant in Democalypse as you cannot rely on Eileen to weather out bad Bolt Storm rolls.","Panel 2 for Elec Pierce is mandatory for PVP.
Red gives her Hell Gaze, while purple provides Elec Amp. As both are very useful for their respective elemental Democalypse, consider building two of them if your Faction does these elements."
"Jeanne☆",P,P,2,2,2,1,1,"Madama Uppercut autocasts a follow-up Almighty attack upon Charm that also inflicts Bind.
Evade and Madama Uppercut levels increase her evasion and allow her to function as a dodge tank.
Gomorrah (J) has high base damage and crit chance, with a high chance to Bind all enemies.
Pairs well with Bayonetta☆ or any other sources of charm like Lakshmi.","Gomorrah (J) takes two turns to charge, and is difficult to build due to it scaling it off PATK and MATK.
Awkward combination of balanced stats and having both Physical and Magic skills make her pretty mediocre at everything.
Very bad bulk means she will get shredded by Magic teams, which ignore her evasion.
Panels do not benefit her much.","Limited-time Collaboration unit. Nobody knows if she will be rerun.
Pretty much outclassed by P3 Lilith, who does Bind upon Charm better."
"Kali",RP,P,4,3,3,4,5,"Violent Dance deals incredible burst damage to a single target and can be cast T1 even with War Brands (or with Divines if wary of Alice A).
Can reliably crit for press turns thanks to Violent Dance putting her in a state of Rebellion.
Gains Phys Amp in Purple turning her into a true Goddess of Slaughter.
Panel 2 provides an MP refund, allowing her to spam Violent Dance.
Red gives her access to discounted Hades Blast, giving her an AOE skill for PVE.","Weak to Ice.
Requires a state of Rebellion to reach full potential. This mandates either one turn of warm up, or an Auto-Rebellion transfer.
Loses turns if she misses even 1 of 6 Violent Dance hits.","-"
"Kartikeya",C,C,5,4,4,2,2,"Fastest demon in the game especially when passive is maxed, allowing you to hit battlespeed requirements in PVE easily.
Skanda proides teamwide Accuracy and Crit chance boost.
Mortal Jihad plus Great Aim means he will rarely miss, while having a good crit rate to generate press turns for your team.
No weaknesses and innate Speedster gives him great flexibility over transfer slots and lets him fulfill a variety of roles.","No innate pierce means he will have trouble with Tetra Shift, unless you inherit Phys Pierce (weak).
Very expensive to Fuse.","Difficult to Panel due to Clear demons only giving 60 spirits.
Works very well in Turn 1 teams like Hero Masakado T1."
"Lachesis",P,P,2,5,5,1,1,"One of the core demons in the Moirai Sisters archetype. When combined with two other Lady or Femme demons (preferably her two other sisters), Passionate Embrace debuffs their attack and defense while buffing yours. Not only does this make Atropos' Passionate Rage stronger, it also makes it harder for the opponent to fight back as they will have to deal with a massive reduction in damage.
Measured Fate removes all debuffs from your team and buffs from the enemy team. This ensures the following Passionate Embrace will fully swing buffs in your favor.
Intimidating Stance in Purple synergizes well with the rest of the Moirai Sisters who have very low AGI.
Her Panels provide valuable ailment immunity, making it harder for Ailment Teams to sweep her on revenge.","Requires a good team built around her.
Due to the way the Moirai Sisters archetype is typically built, Revive Sealing units like Skull Knight are a very powerful counter.","The AI will not cast Measured Fate if there are no buffs on your opponent and/or debuffs on you. As she does not have any other actives, this causes her to auto-attack most of the time, which can be a problem facing NDR Phys or evasive targets."
"Lakshmi",Any,P,2,3,3,2,3,"Extremely high Magic and Luck stats allow her to be built as either a Sweeper or an Ailment inflictor.
Her High Luck, Insanity combined with Lotus Dance's high Charm rate virtually guarantees she will Charm everything that does not Null it.
Panel 3 allows her to generate MP for the team, enabling certain first-turn kill strats like Shiva A, or counter MP drain teams like Alice A.","Weak to Force
Lack of good innate offensive skills wastes her high MAG stat.
Countered very hard by Daisoujou clearing her charms and punishing her for using them.
Very bad bulk","-"
"Lakshmi A",Y,RP,4,4,4,1,1,"Diwali restores MP to the whole team upon receiving any healing from skills. This includes her own Virtuous perity, passive healing from Hecate/Guan Yu/Raphael and drain-type skills such as Light Devourer and her own Deathtouch.
The MP restoration aspect is very powerful in the current PVP meta as a counter to Alice A's passive MP Drain.
One of the best healers thanks to innate Recovery Amp and Virtuous perity.
At max boost level, Virtuous perity cleanses all Ailments while conferring Five Elements and Null Mortal, making it a powerful support skill for both PVE and PVP.
Yellow grants discounted Defensive Cry, a powerful defensive skill for PVE.","Weak to Force","In Yellow, AI prioritizes Defensive Cry which does not trigger Diwali."
"Lilith",Any,C,2,2,3,3,1,"Two strong Dark and Elec AOE skills.
Decent Magic allows her to deal damage while also inflicting ailments on the enemy.
Panel 3 casts a teamwide Bind whenever an enemy is charmed, and can be triggered multiple times per turn.","Weak to Force and Light
No pierce, requires Dark Pierce (weak) to really shine.
Countered very hard by Daisoujou clearing her charms and punishing her for using them.","Easy 4x4 fusion paths and good panels make her a decent Panel 3 goal to strive toward."
"Lucifer",P,P,3,2,3,4,3,"Morning Star is the most powerful Almighty AOE spell in the game.
Purple gives him Butcher to further augment his damage.
Good bulk especially with Panel 2 unlocked. This helps him live long enough to build up the MP necessary for Morning Star.
Repel Dark is sometimes useful with Alilat or Atavaka against bosses with Dark Pierce.","Weak to Light.
Very MP hungry. Even when paired with P1 Lucifuge, he cannot Turn 1 Morning Star against Alice A teams without dedicated MP support.
Very expensive to fuse and panel.
No Pierce and full Almighty kit means he is shut down hard by Five Elements.","Paired with Panel 1 Lucifuge, you can also use him in a devastating Turn 1 Sweeper team."
"Lucifuge",C,C,3,2,3,3,4,"Hell's Ministry reduces Almighty cost for all Tyrant race demons and improves their bulk. Paired with his Panel 1 Bonus, this will give a whopping 2MP discount and enable powerful Turn 1 combos such as Lucifer's Morning Star.
Light Devourer is a hard-hitting single target Dark spell, further amplified by innate Dark Amp.
Clear gains access to discounted Necro Dogma. As it only costs 6MP when maxed (5MP if Panel 1), it can be fired off Turn 1 and giving your whole party a defensive buff as a bonus.","Weak to Light
Extremely expensive to fuse.
Middling AGI hurts battle speed for fast T1 teams.","Requires Panel 1 to really shine.
Unimpressive without good teammates. His best partner Lucifer is another very expensive fusion, and requires Panel 3 to be really competitive in PVP."
"Mahakala",RP,RP,4,4,3,4,5,"High Magic stats and innate Concentrate + Pierce from The Great Darkness make him a very powerful ST Nuker.
Wrathful Flame reduces defense, allowing your teammates to hit harder. It can also be cast on turn 1 PVP with spell brands if maxed.
Very effective in Democalypse boss rounds as buffs/debuffs are difficult to come by.
Goes through Endure as Wrathful Flame counts as three separate hits.","Combination of ST and AOE in his kit makes it difficult to further boost his damage.","Unlike Indrajit, lack of MP recovery means he cannot spam Wrathful Flame as easily in PVP.
If Mahakala is not alive at the beginning of the turn The Great Darkness won't increase the turn count until Mahakala is revived and survives until the start of the following turn."
"Mara",P,P,3,2,2,3,5,"Only fuseable source of Phys Pierce.
High STR and LUK means he will hit hard and crit often.
Hell Thrust is very strong against bosses and in Democalypse, especially if he is Panel 3.
Meme","Ice Weakness and non-existent bulk makes him go limp at the sight of Ice skills.
High MP costs give Mara a big refractory period.
Expensive to fuse, will quickly blow through your Magnetite reserves.
Requires damage boost transfer to supplement his damage.
Middling AGI means he will have accuracy issues and occasionally miss the hole. Also doesn't slot into Intimidating Stance teams well as a result.
Due to Mara having no single target besides his regular thrust, Anti-Pierce units like Rama, Alilat and Atavaka are a turn off.","-"
"Marici",P,P,2,2,2,1,1,"Shimmer Arrow lets her follow up ANY physical skill with a piercing Light ST nuke. This is great for cleaning up Endures and spreading out chip damage.
Daylight Blade deals Piercing Phys damage while putting her into a state of Concentrate, allowing her chained Shimmer Arrow to hit much harder. This effectively gives her a 300 Base Power ST nuke (360 if it crits!) that also ignores Endures.
Works great in Brands of Sin Sloth 12 where a majority of the enemies are weak to light.","Unimpressive STR stats, low base power on both her skills and no damage boosters in her kit severely hurt her damage output.
Difficult to boost her damage due to her being a dual Physical and Light Hybrid attacker.
Does not have natural Pierce. This can cause issues with his AI attacking into Tetra Shift and/or Physical NDR when out of MP.","For manual play, Shimmer Arrow will hit whoever your cursor is on. On Auto and/or Defense however, you are at the mercy of the AI whoever she snipes."
"Masakado",P,TP,5,5,5,3,3,"Innate Phys Amp in purple combined with a MASSIVE STR stat allow him to dish out ridiculous amounts of Physical damage.
Warlord's Wrath is a loaded passive that combines Intimidating Stance, Faithful Counter and Phys Pierce.
Occult Flash is a high damage, high crit-rate single target skill that will inflict Mortal with 100% chance.
Has no weakness and a perfect base kit, allowing you to tailor his remaining transfer slots however you like.
Gains Drain Phys in Teal, allowing you to pair him Rama to act as a Phys Anti-Pierce unit.","Low Agility leads to accuracy issues, especially against evasive targets.
Is very frail thanks to a low VIT and HP stat.","Unable to be paired with Masakado A. This drops his Democalypse ranking by a decent amount, as Masakado A is a ridiculously powerful tech."
"Masakado A",Any,P,5,5,5,5,3,"Guardian of the East provides 1 extra Press Turn when going first, enabling devastating Turn 1 Kill strats like Hero Masakado T1.
Kuyo Flash can be cast 1st turn and swings offensive buffs entirely in your favor through autocast Tarukaja, Rakunda, Sukukaja and Sukunda.
Panel 2 provides team wide Null Mortal for one turn. This is useful for sweeping Ixtab defenses, or protecting your allies from being counterswept by Alice A if you fail to kill them Turn 1.
Incredible set of resistances with 3 Nulls (Phys, Dark, Light) and no weakness allows you to tailor the rest of his transfer slots however you please.","No good physical attacks to exploit his innate Phys Pierce. Only Phys attack available to him is Myriad Arrows in Red which has random targeting and is thus not very reliable.
Easily countered by outspeeding. This is a problem for last hour PVP, as Masakado A defenses will get relentlessly targetted by players looking to climb last minute.","Unable to be paired with Masakado"
"Mastema",P,P,3,2,3,5,3,"Good Magic coupled with Trial of Hate's high base power makes him an incredible Light sweeper. The debuff is icing on the cake.
Good set of resistances with 1 Null and 2 Reflects.
Works well in Archangel Teams to provide more sweeping power.
Laughs at his enemies occasionally","No innate pierce, requires Light Pierce (weak) to really shine.
Weak to Fire. This is especially problematic in Brands of Sin: Sloth 11 and above, as the boss has innate Trisagion.
Binding Cry, while a flavorful skill is unfortunately wasted on Mastema.","Easy 4x4 fusion paths and good panels make him a decent Panel 3 goal to strive toward."
"Maya",YP,P,3,3,3,1,1,"Will virtually never have MP issues thanks to Glamorous Allure giving her a free Almighty AOE attack that has a chance of charm.
Upon any allies being Muted, she will counter with Illusionary World, cleansing the Mute and retaliating with an Almighty AOE Sweep. This makes her ideal for punishing Daisoujou, whose team will take chip damage from Illusionary World every time his Preach is triggered.
Innate Null Charm, Null Bind in purple and Illusionary World makes her virtually immune to skill-restricting ailments. Transferring a cleanse skill like Prayer will allow her to serve as the team's Cleric, while still being able to deal chip damage thanks to Glamorous Allure.
High LUK and huge amount of built-in Ailment Infliction help her land Charm from Glamorous Allure reliably.","Fairly mediocre MAG and unimpressive Base Power on both skills hurt her damage potential.
Very harshly countered by Five Elements on Defense, as the AI does not know how to pass and will lose press turns attacking into it.","-"
"Metatron",R,CY,3,2,3,4,4,"Good HP and Vit stats paired with great resistances gives him decent of bulk, especially with innate Enduring Soul in Clear.
High Magic stat and Infinite Chakra lets him function well as a magic sweeper.
Works well in an Archangel Team, as Fire of Sinai is great for cleaning up and breaking Endures.
Gains discounted Mahamadyne in Red which is great for Brands of Sin Sloth 10 and 11 farming.
Panel 3 amplifies all Magic damage.","Very difficult to fuse, only 1 recipe available.
Full Almighty / non-Piercing kit means he is shut down hard by Five Elements.
Low AGI stat penalizes him in the Archangels PVP strat.","-"
"Michael",TY,T,3,1,1,2,5,"Soul Judgement deals massive damage against single targets, ideal for Bosses and Democalypse.
While he has pretty mediocre MAG stats, panels help to offset this by providing him a lot of damage.
Yellow gives him access to discounted Mediarahan, allowing him to double as a healer.
Very good set of resistances, especially in Teal.","Weak to Dark
No innate Pierce and mediocre Stats
High STR stat is wasted on a Mage.
Random targeting is ill-suited for PVP.","-"
"Mot",Any,YRP,3,3,2,5,5,"His high bulk pairs well with Harmonious Death which is strong in extended fights.
Harmonious Death makes Mot a must-have in Democalypse Prelim teams. At Panel 3, he becomes perfect for Democalypse Boss teams.
Has two strong AOE spells.
Amazing set of panels that provide him MP reduction, Null Mortal and even more Press Turns.","Weak to Elec
High MP costs","-"
"Mozgus",R,TY,2,2,2,2,2,"The only unit in the game that has a Critical Counter, God 1000 Fist Cannon will unleash a random barrage of piercing Physical attacks whenever the enemy scores a crit.
Extremely high bulk and damage reduction from Bloody Scripture make him a powerful tank. Building him as a tank also increases God 1000 Fist Cannon and Muscle Punch damage, as they both depend on Phys DEF for damage. Earthquake in red furthers this synergy.
Yellow gives him access to discounted War Cry, letting him play a support role if required.","God 1000 Fist Cannon has low base power.
Does not have Pierce outside of God 1000 Fist Cannon.
Needs a lot of Accuracy investment due to bad AGI.
Weak to Fire","Limited-time Collaboration unit. Nobody knows if he will be rerun."
"Mother Harlot",Any,T,2,5,5,1,1,"Babylon Goblet drains MP from all enemies while providing her MP sustain, allowing her to loop the same attack over and over even without Divine Brands. With Panel 2 unlocked, she will additionally spread charm all over the enemy's team.
Teal gives her Drain Phys, ideal for pairing with Rama. Notably, she is the only Drain Phys unit that can function as a magic sweeper. Innate Drain Elec also helps to soft-counter Atropos, as the second part of Passionate Rage will not proc if the first Elec part is Anti-Pierced.
Has access to discounted Debilitate in Yellow, letting her play a more support role if needed.
Works very well in a slow Ailment Team, or with Alice A in MP denial teams.
Incredible set of Panels. With Panel 3 unlocked, she can keep enemies permanently charmed by reapplying Charm each turn.","Weak to Force
Full Almighty kit means she is shut down hard by Five Elements.
Low AGI and high MP costs makes her unsuitable for fast teams.","The MP drain aspect of Babylon Goblet is less useful for PVE, as the AI has infinite MP. It does allow you to replenish her MP indefinitely though."
"Nebiros",TP,TP,4,4,4,1,1,"Call of the Dead is the only revive skill in the game without a usage limit. This enables infinite revives especially if paired with healing support like Nadja.
As Call of the Dead triggers at the end of the enemy turn, it lets you start your turn with full press turns, and proc any start of turn chain effects like Archangels.
Hand of Glory provides AOE Curse + Luster Candy on ally death. The Curse is great setup for Alice A (and his own passive) while the buffs increase your likelihood of surviving the turn.
Highest LUK in the game paired with innate Epitome of Madness makes him a great Dodge tank.
Panel 2 grants Null Mortal which makes him even harder to kill.","Hard countered by Null Curse and revive sealing skills like Sword of Actuation. Panel 1 Clotho in particular is a very powerful counter, as she confers the whole team Null Curse.
Weak to light and by extension the Archangels matchup. Teal fixes this somewhat but you lose Null Bind in return.
Call of the Dead can be mitigated by a Cleric removing Curse before end of the turn.","-"
"Nergal",RP,P,1,3,3,4,2,"Plague of Babylon removes Barriers and has a very high chance of landing Weak status, making him incredible setup for Ailment Teams.
High STR, Auto-Tarukaja and increased Accuracy from Meslamtaea make him a decent Physical demon, especially when Paneled.
Auto-Rebellion on Poison boosts his damage and synergizes with Pale Rider.","Weak to Ice
Ailments fall flat in late/endgame PvE because of inflated enemy stats
Hard countered by Ailment Cleansers like Daisoujou or Kinmamon in PVP.
AGI too low for Ailment Teams standards.","P3 Samael offers similar barrier break without consuming a Press Turn. This is vital versus double Intimidating Stance Teams, as Nergal consuming a Press Turn means you are left with a single Press for casting a true ailment.
Compared to P3 Samael, Nergal gives your other demons more flexibility in choosing brands, as they can forego Ailment Infliction completely. Weigh the extra Press Turn versus stat flexibility carefully."
"Nero☆",Any,RP,3,3,2,5,3,"Overture deals Piercing damage while giving him free Concentrate, letting him sweep hard.
Voltage synergises perfectly with Overture and gives your party attack and accuracy/evasions buffs.
Very good for Democalypse where he does not have to worry about MP issues and can repeatedly spam Concentrated Overtures while on Spell Brands for insane damage.","Hard countered by Anti-Pierce, as Overture will not autocast Concentrate (and by extension Voltage) if the attack hits into NDR.
Mediocre stats, relies on Concentrate from Overture to deal damage.
No ST skills if not in Red.
High MP costs and no MP recovery prevent him from spamming his spells freely.","Limited-time Collaboration unit. Nobody knows if he will be rerun."
"Norn",C,C,3,1,1,2,4,"Moment of Fate procs Dekaja + Luster Candy on the boss wave. This is great for PVE content with Auto-Debilitate such as Brands of Sin Sloth 11 and 12 stages and certain Kiwami.
High MAG Stat plus innate Merciless Blow makes her a great demon for Democalypse (provided you transfer an offensive skill).
Recovery Amp and discounted Mediarahan let her function as a PVE Healer with a decent offensive presence.","Has no offensive skills despite possessing Merciless Blow. Heavily relies on transfers for an offensive presence or at least do more than heal.
Not really better than Amaterasu and Barong as a PVE healer/support.
Only obtainable through Democalypse grinding.","Will be very good in upcoming Dark/Light Alter World content.
As the AI will not cast debuffs in Democalypse, Abaddon A still has an edge over her being able to provide both buffs and debuffs."
"Orcus",Y,Y,3,4,4,1,1,"One of the strongest support demons in the game. Law of Hell denies bonus turns when striking weakness, while Hell's Gate grants AOE damage reduction for each open weakness.
This eliminates the need to cover weaknesses for all your demons, allowing them to inherit more valuable transfer skills like Epitome of Fortitude, Recarmdra, Auto-Tarunda etc.
Very good buff control with War Cry and Nocturne in Yellow.","Hell's Gate damage reduction does not apply to single target attacks.
Very MP Hungry. Divines help with MP costs but reduce his bulk.
Needs specific team compositions to work well.","You still receive extra damage from open weaknesses.
Due to the way Law of Hell is coded, it will also deny bonus turns gained from a Crit if the attacked demon has a Physical weakness. This ironically makes Slime a great partner for him, as Slime has six open weaknesses including Phys."
"Pale Rider",TP,TY,1,3,3,4,2,"Very good in an Ailment Team, as Pestilence will kill any enemy after 2 turns, no questions asked.
Perfect synergy with a set-up based sweeper Nergal. Nergal helps to remove any barriers and ensures Plague's poison can land via Weak, which in turn triggers his own Meslamtaea passive.
Gains the strongest debuff Debilitate in Yellow, letting him double as a debuffer.","Weak to Elec
Ailments generally fall flat in late/endgame PvE because of inflated enemy stats
Hard countered by Ailment Cleansers like Daisoujou or Kinmamon in PVP.
Pestilence only kicks in at the end of enemy's turn, giving them one whole turn to cleanse it away or just outright kill him.
Requires a specific team built around him to really work.
Panels 1 and 2 don't contribute to the Ailment build.","-"
"Quetzalcoatl",Any,TP,2,2,2,4,1,"Usually run as a support demon. Ce Acatls' Return is an incredible ressurection spell that brings all fallen party members back to life.
Repel Phys in Teal pairs well with Alilat or Atavaka as an Anti-Pierce unit.
Has 2 strong AOE spells, 3 if in Red.","High MP costs
Weak to Dark
Low Magic stat wastes his AOE potential, despite having good spells and panels.","-"
"Quetzalcoatl A",P,RP,4,5,5,5,3,"Has full Fire Pierce and Fire Amp by default, plus Butcher in Purple. This makes him a deadly Fire Sweeper for both Fire Democalypse and PVP.
Aztec Pulse costs only 5 MP when maxed and does massive damage when combined with his other passives. The low MP cost also means you can spam it with Divine Brands going first, regardless if Alice A is present or not.
Ce Acatl grants him a free revive once per battle, while refunding the press turn lost from his death. This makes him a great counter for Fast T1 Teams on offense, as anything short of a full team wipe will result in him coming back to life and reverse-sweeping with double Aztec Pulses.
Pairs well with Rama has he has Drain Fire by default. This is especially useful versus Herald team comps to counter Uriel's Sunrise.
Red gives him access to discounted Trisagion, useful versus Fire Anti-Pierce.","Weak to Dark.
Purple has troubles versus Fire Anti-Pierce comps like Atavaka-Vairocana and Rama-Surt.
Hard-countered by Revive Sealing units like Skull Knight.","As press turn count is determined at the start of the round, Ce Acatl press turn generation only cancels out the lost press turn from his death.
Ironically, he also pairs well with his mortal nemesis Skull Knight on defense, as Aztec Pulse will soften up everyone allowing Sword of Actuation to kill anyone his AI desires.
Ce Acatl triggers after Passionate Rage. This allows him to dodge the AOE Chains and abuse any extra Press Turns now available to him."
"Rama",Any,TYP,4,4,4,3,3,"One of only three demons that can negate pierce.
While alive, Drain Pierce will prevent pierce skills from going through Drain resistances and is the cornerstone of the Drain Teams archetype.
Brahmastra is a three-hit Almighty skill that functions as an Endure-breaker.
Good base stats and no weaknesses allow him to fulfill a variety of roles, be it support or sweeper. Yellow Rama can function as a good support demon with discounted Luster Candy whereas Purple gives him Ice Pierce which lets him sweep with Mabufudyne.","Not very bulky
Drain Pierce does nothing versus Almighty.","Teal gives him Drain Ice which pairs well with Drain Pierce and can be used to cheese certain difficult PvE content like Hell's Park Floor 100 and Celestial Gui Xian."
"Raphael",TP,P,3,3,3,2,5,"Tailwind does massive damage against single targets, ideal for Bosses or cleaning up in PVP.
Works well in an Archangel Team.","God's Blessing does not deal damage, unlike Uriel and Gabriel.
Needs team built around him.
Weak to Dark","God's Blessing pairs well with Lakshmi A, as the heal with trigger Diwali and restore MP to your team. This allows you to circumvent Alice A's MP drain, which would otherwise stop Archangel teams in their tracks."
"Red Rider",TP,P,2,3,3,2,1,"Good Str, decent Agi and Luck means he will hit hard without much Accuracy issues.
Blade of Terror deals consistent Fractional damage based on enemies current HP, unaffected by buffs. It will also bypass the accuracy check since it is a fractional skill.
Blade of Terror has high AOE Bind chance when maxed, and can be used Turn 1 due to it's low MP cost.","Blade of Terror falls off later in the fight as it is based on Current HP (and is capped against late game targets in PVE).
No innate Pierce means Panel 2 or a Phys Pierce (weak) transfer is mandatory.
Weak to Ice","Buffs and damage boosts only work on Bloodshed's Physical damage and not Blade of Terror's Fractional damage.
His AI will blindly Blade of Terror into Tetrakarn without taking into account the Bloodshed follow up. This can get him easily killed if he does not have some form of Phys Pierce!"
"Samael",P,P,2,4,4,1,1,"Panel 3 is insanely powerful, providing free Barrier Break and Makara Break at the start of turn without consuming Press Turns.
God's Malice is very good to lock down a single target with multiple Ailments.
Infinite Chakra helps to reduce MP requirements, allowing him to spam God's Malice.
Mana Aid is a great transfer skill.","Weak to Elec
Countered very hard by Daisoujou clearing his ailments and punishing him for using Charm.
Middling AGI hurts battle speed for fast Ailment teams.","Great set of Panels that provide additional Ailment Infliction, reduce MP costs and the aforementioned breaks. Easy 4x4 fusion paths make him a good P3 goal to strive toward.
Compared to Nergal, Panel 3 Samael gives you better Press Turn efficiency, but in return all your other demons will require some degree of Ailment Infliction from brands or transfers. Weigh the extra Press Turn versus stat flexibility carefully.
Panel 3 pairs well with Alice A and Nebiros teams, allowing them to land Curse without worrying about Barriers. He also negates Xi Wangmu's Panel 2, as he will continuously break her recasted Barriers each turn."
"Schierke",Any,Any,3,1,1,4,2,"Summon Elementals debuffs a fixed stat depending on Element. The Rakunda effect from Fire Elemental Summon makes her particularly good for Fire Democalypse.
Access to three elements and innate Mana Aid makes her a useful PvE and Democalypse sweeper.","You are at the AI's Mercy on which Element gets casted.
Summon Elementals is only useable once every two turns.
Both her skills have levels, making her a very costly investment Kasane-wise.
No pierce on Elemental Magic.","-"
"Seraph",C,C,3,1,1,2,5,"Very high Magic stat, combined with Garden of Eden and Merciless Blow lets him hit weaknesses hard.
Innate Trisagion and Thunderclap deal massive damage when targeting weakness.
Garden of Eden provides a teamwide boost to damage on hitting weakness, making him perfect for Democalypse.
Panels give him and his teammates even more damage. Can be used in an Archangel team if banking solely on Uriel and Gabriel's passives.","Only obtainable through Democalypse grinding.
High MP costs make him unsuitable for anything outside Democalypse.
Weak to Ice","-"
"Seth",CT,CT,4,2,2,2,4,"Ouas is a very powerful ST nuke that has a high crit rate and a strong heal.
Extremely high STR and LUK means he will hit hard and crit often.
Teal covers his weakness while Clear gives him an AOE skill in Titanomachia.
Yellow gives him Nocturne which allows him to play a more support-oriented role, especially with innate Debilitate.
Good set of panels that provide him damage, bulk and MP reduction.","Lacks Phys Pierce, reducing his viability in certain areas which require it.
Weak to Fire
Extremely low MAG means Zandyne is a wasted slot.
As nothing in his kit boosts Phys damage, damage booster transfers are mandatory.","-"
"Shiva",R,R,4,3,3,5,3,"High STR, AGI and LUK paired with innate Serial Killer and Vorpal Blade make him an effective Physical Sweeper.
Good candidate for the Hell Gongen team as patches out his biggest weakness - lack of Phys Pierce.
Great set of Panels especially Panel 3 which provides insane MP-cost reduction.
Has three sets of Drain resistances and no weakness if in Teal, making him an ideal teammate for Rama.","Pralaya has a high MP cost and is blocked by Five Elements.
No innate Pierce
Very expensive to fuse.
Weak to Ice","-"
"Shiva A",TP,TP,4,4,5,3,1,"Third Eye is fully unblockable and will go through any elemental NDRs and barriers like Five Elements. It is also treated as a physical attack and as such can Crit.
Ishvara provides auto-Rebellion and passively boosts his accuracy and crit chance.
Insane set of panels that give him everything he needs (accuracy, better ST and reduced MP cost).
Incredible Elemental resistances especially in Teal. All these Elemental Drains make him an excellent partner for Rama - Drain Elec in particular allows him to soft-counter Passionate Rage.","Hard to further boost Third Eye's damage as Almighty has no innate Boost/Amp.
Weak to Force
Very MP Hungry and prone to MP denial teams like Alice A.","Can be run in Hero Masakado T1 Teams for a devastating First Turn Kill."
"Siegfried",R,R,3,3,3,4,4,"Arms Mastery passively boosts his damage and accuracy, letting him sweep hard with discounted Titanomachia in Red.
Innate Drain Phys makes him a decent candidate for Drain Teams.
Incredible set of panels that provide him further damage reduction, Phys Pierce and MP reduction. The Phys Reduction from Panel 1 in particular makes him very useful for Alter World Phys.","High investment - He requires Panels, good transfers and a proper team built around him to really shine.
Mediocre AGI and LUK stats.","Arms Mastery can be stacked with Phys Amp and Epitome of Carnage to skyrocket his Phys damage.
Panel 3 Siegfried is a very good candidate for Hero Masakado T1 Teams, as he can fire off a devastating Titanomachia Turn 1 even against Alice A comps."
"Skull Knight",TP,TP,3,5,5,2,1,"Demons die when they are killed by Sword of Actuation, unable to be revived. This lets him counter Nebiros, Xi Wangmu and Clotho revive strats, making him an exceptional Anti-Meta unit.
Sword of Actuation has a ridiculously low MP cost at max level (5 MP) - Even without Panels it can be cast Turn 1 with War Brands. Panel 2 further reduces it to 4 MP, allowing it to be cast regardless of brands or matchup.
Foe of Demons defensively buffs your team at the start of your opponent's turn, increasing your odds of surviving.
Repel Phys in Teal makes him a good partner for Alilat and Atavaka.","Difficult to boost Sword of Actuation further due to it being Almighty Phys.
Requires a good team setup around him to truly shine.
Middling AGI makes him slightly awkward to fit in fast or slow teams.","Has AI issues when used on defense - AI will occasionally target demons with high HP instead of trying to finish off demons with Sword of Actuation. This can be circumvented by pairing him with sweepers like Hecate or Atavaka to soften everyone up, ensuring Sword of Actuation will kill whoever his AI targets. Auto-Rebellion also supposedly fixes this issue.
Limited-time Collaboration unit. Nobody knows if he will be rerun."
"Surt",CP,C,3,3,3,2,5,"Low AGI, innate Tetra Shift and Intimidating Stance in Clear making him a great candidate for slow Intimidating Stance Teams.
Ragnarok hits like a truck and refunds MP if maxed, allowing him to spam it repeatedly.
Purple provides Fire Pierce if preferred for PVE.","Weak to Ice
No innate Fire Pierce if Clear.","Divine brands are recommended if using him for PVP Defense. Otherwise, his AI will Ragnarok once and then default to spamming Berserker God every other turn, wasting all his damage potential."
"Susano-o",P,P,3,2,2,1,5,"Very powerful Force nuker. Kusanagi hits extremely hard and autocasts Tarukaja to further buff your team's attack.
As Kusanagi is treated as a spell, it bypasses any accuracy checks letting him land it reliably.
Both Kusanagi and Mortal Jihad scale from Phys Attack, allowing him cover two elements decently (albeit without pierce).","No innate pierce.
Weak to Fire","Easy 4x4 fusion paths and good panels make him a decent P3 goal to strive toward."
"Susano-o A",TRP,TP,3,4,4,2,5,"Innate Epitome of Carnage and Master Assassin in purple makes him a terrific Phys powerhouse, especially considering Violent Slash's high Base Power and Crit.
Heavenly Valor punishes enemies who pass when used in PVP Defense teams.
Nulls Phys and Drains Force innately. Gains Drain Phys in Teal which goes well with Rama as Phys Anti-Pierce.","No added Accuracy in his kit. Requires extra Accuracy investment from Brands, Panels or skill transfer to hit reliably.
Weak to Fire
Heavenly Valor can be countered, and misses will trigger passives like Andalucia and Brilliant Wings.","Xi Wangmu is a very oppressive partner for him as her passive helps to keep him (and by extension, Heavenly Valor) alive. She also allows him to forgo bulk stats entirely to focus on damage and accuracy.
Heavenly Valor has lower base accuracy compared to typical Physical AOEs."
